in_labfce,Number of Residents in Labor Force,,,,,,,,,,,,,,,,,,,,,
empl,Number of Residents Employed,,,,,,,,,,,,,,,,,,,,,
unempl,Number of Residents Unemployed,,,,,,,,,,,,,,,,,,,,,
hu,Number of Housing Units,,,,,,,,,,,,,,,,,,,,,
hu_occ,Number of Occupied Housing Units,,,,,,,,,,,,,,,,,,,,,
hu_vac,Number of Vacant Housing Units,,,,,,,,,,,,,,,,,,,,,
hu_ooc,Number of Owner-Occupied Housing Units,,,,,,,,,,,,,,,,,,,,,
hu_roc,Number of Renter-Occupied Housing Units,,,,,,,,,,,,,,,,,,,,,
hu_crowd,Number of Crowded Housing Units,,,,,,,,,,,,,,,,,,,,,
hs_1unit,Number of Housing Structures with 1 Unit,,,,,,,,,,,,,,,,,,,,,
hs_10_19unit,Number of Housing Structures with 10-19 Units,,,,,,,,,,,,,,,,,,,,,
hs_2unit,Number of Housing Structures with 2 Units,,,,,,,,,,,,,,,,,,,,,
hs_20_49unit,Number of Housing Structures with 20-49 Units,,,,,,,,,,,,,,,,,,,,,
hs_3_4unit,Number of Housing Structures with 3-4 Units,,,,,,,,,,,,,,,,,,,,,
hs_5_9unit,Number of Housing Structures with 5-9 Units,,,,,,,,,,,,,,,,,,,,,
hs_50unit,Number of Housing Structures with 50+ Units,,,,,,,,,,,,,,,,,,,,,
moblh,Number of Mobile Homes,,,,,,,,,,,,,,,,,,,,,
hs_1930s,Number of Housing Structures Build in 1930s or Earlier,,,,,,,,,,,,,,,,,,,,,
hs_2010s,Number of Housing Structures Build in 2010s,,,,,,,,,,,,,,,,,,,,,
hs_2000s,Number of Housing Structures Build in 2000s,,,,,,,,,,,,,,,,,,,,,
hs_1990s,Number of Housing Structures Build in 1990s,,,,,,,,,,,,,,,,,,,,,
hs_1980s,Number of Housing Structures Build in 1980s,,,,,,,,,,,,,,,,,,,,,
hs_1970s,Number of Housing Structures Build in 1970s,,,,,,,,,,,,,,,,,,,,,
hs_1960s,Number of Housing Structures Build in 1960s,,,,,,,,,,,,,,,,,,,,,
hs_1950s,Number of Housing Structures Build in 1950s,,,,,,,,,,,,,,,,,,,,,
hs_1940s,Number of Housing Structures Build in 1940s,,,,,,,,,,,,,,,,,,,,,
hu_mvdin_1980s,Number of Housing Units Moved in 1980s or Earlier,,,,,,,,,,,,,,,,,,,,,
hu_mvdin_1990s,Number of Housing Units Moved in 1990s,,,,,,,,,,,,,,,,,,,,,
hu_mvdin_2000s,Number of Housing Units Moved in 2000s,,,,,,,,,,,,,,,,,,,,,
hu_mvdin_2010s,Number of Housing Units Moved in 2010s,,,,,,,,,,,,,,,,,,,,,
hu_btlgas,Number of Housing Units Heating with Bottled Tank Gas,,,,,,,,,,,,,,,,,,,,,
hu_coal,Number of Housing Units Heating with Coal,,,,,,,,,,,,,,,,,,,,,
hu_elctrcty,Number of Housing Units Heating with Electricity,,,,,,,,,,,,,,,,,,,,,
hu_oil,Number of Housing Units Heating with Oil,,,,,,,,,,,,,,,,,,,,,
hu_gas,Number of Housing Units Heating with Utility Gas,,,,,,,,,,,,,,,,,,,,,
hu_wood,Number of Housing Units Heating with Wood,,,,,,,,,,,,,,,,,,,,,
hu_solar,Number of Housing Units Heating with Solar Energy,,,,,,,,,,,,,,,,,,,,,
hu_0bed,Number of Housing Units 0 Bedrooms,,,,,,,,,,,,,,,,,,,,,
hu_1bed,Number of Housing Units 1 Bedroom,,,,,,,,,,,,,,,,,,,,,
hu_2bed,Number of Housing Units 2 Bedrooms,,,,,,,,,,,,,,,,,,,,,
hu_3bed,Number of Housing Units 3 Bedrooms,,,,,,,,,,,,,,,,,,,,,
hu_4bed,Number of Housing Units 4 Bedrooms,,,,,,,,,,,,,,,,,,,,,
hu_5bed,Number of Housing Units 5+ Bedrooms,,,,,,,,,,,,,,,,,,,,,
hu_w_tel,Number of Housing Units with Telephone,,,,,,,,,,,,,,,,,,,,,
hu_0veh,Number of Housing Units 0 Vehicles,,,,,,,,,,,,,,,,,,,,,
hu_1veh,Number of Housing Units 1 Vehicle,,,,,,,,,,,,,,,,,,,,,
hu_2veh,Number of Housing Units 2 Vehicles,,,,,,,,,,,,,,,,,,,,,
hu_3veh,Number of Housing Units 3 Vehicles,,,,,,,,,,,,,,,,,,,,,
hu_4veh,Number of Housing Units 4 Vehicles,,,,,,,,,,,,,,,,,,,,,
hu_5veh,Number of Housing Units 5+ Vehicles,,,,,,,,,,,,,,,,,,,,,
hu_ktchn,Number of Housing Units Complete Kitchen,,,,,,,,,,,,,,,,,,,,,
hu_plmbn,Number of Housing Units Complete Plumbing,,,,,,,,,,,,,,,,,,,,,
hu_rent_util,Number of Renter Housing Units with Utilities Included,,,,,,,,,,,,,,,,,,,,,
hu_cost_burdn,Number of Housing Units Cost Burdened,,,,,,,,,,,,,,,,,,,,,
pop_w_ins,Number of Residents with Health Insurance,,,,,,,,,,,,,,,,,,,,,
pop_1014,Number of Residents Aged 10-14,,,,,,,,,,,,,,,,,,,,,
pop_1517,Number of Residents Aged 15-17,,,,,,,,,,,,,,,,,,,,,
pop_1824,Number of Residents Aged 18-24,,,,,,,,,,,,,,,,,,,,,
pop_2534,Number of Residents Aged 25-34,,,,,,,,,,,,,,,,,,,,,
pop_3544,Number of Residents Aged 35-44,,,,,,,,,,,,,,,,,,,,,
pop_4554,Number of Residents Aged 45-54,,,,,,,,,,,,,,,,,,,,,
pop_5_9,Number of Residents Aged 5-9,,,,,,,,,,,,,,,,,,,,,
pop_5564,Number of Residents Aged 55-64,,,,,,,,,,,,,,,,,,,,,
pop_6574,Number of Residents Aged 65-74,,,,,,,,,,,,,,,,,,,,,
pop_7584,Number of Residents Aged 75-84,,,,,,,,,,,,,,,,,,,,,
pop_85,Number of Residents Aged 85+,,,,,,,,,,,,,,,,,,,,,
pop_5,Number of Residents Aged 5 and Under,,,,,,,,,,,,,,,,,,,,,
religious_orgs,Number of religious organizations in the area,,,,,,,,,,,,,,,,,,,,,
public_housing_developments,Number of public housing developments,,,,,,,,,,,,,,,,,,,,,
libraries,Number of libraries,,,,,,,,,,,,,,,,,,,,,
